FoodWeb,Longitude,Latitude,Date,InteractionsSource,Reference,ReferenceLink
Alaska,"145°08’33.3"" W","58°42’23.6"" N",1981-2002,Stomach content,"Gaichas SK, Francis RC. Network models for ecosystem-based fishery analysis: a review of concepts and application to the Gulf of Alaska marine food web. Canadian Journal of Fisheries and Aquatic Sciences. 2008;65: 1965–82.",https://doi.org/10.1139/F08-104
Angola,13°25′ E,5°-17°15’ S,1986-2003,Stomach content,"Angelini R, Vaz-Velho F. Ecosystem structure and trophic analysis of Angolan fishery landings. Scientia Marina. 2011;75: 309–19.",https://repositorio.ufrn.br/handle/123456789/30765
Baltic Sea,20°00′ E,60°15′ N,1980-2000,Variable,"Yletyinen J, Bodin Ö, Weigel B, Nordström MC, Bonsdorff E, Blenckner T. Regime shifts in marine communities: a complex systems perspective on food web dynamics. InProc. R. Soc. B. 2016;283: 20152569.",https://doi.org/10.1098/rspb.2015.2569
Barents Sea Arctic,"46°36’06.1"" E","78°33’58.7"" N",2004-2012,Variable,"Kortsch S, Primicerio R, Fossheim M, Dolgov AV, Aschan M. Climate change alters the structure of arctic marine food webs due to poleward shifts of boreal generalists. Proc. R. Soc. B. 2015;282: 20151546. pmid:26336179",https://doi.org/10.1098/rspb.2015.1546
Barents Sea Boreal,"24°58’50.2"" E","73°06’28.6"" N",2004-2012,Variable,"Kortsch S, Primicerio R, Fossheim M, Dolgov AV, Aschan M. Climate change alters the structure of arctic marine food webs due to poleward shifts of boreal generalists. Proc. R. Soc. B. 2015;282: 20151546. pmid:26336179",https://doi.org/10.1098/rspb.2015.1546
Beagle Channel,68°34’ W,54°51’ S,2009-2011,Stable isotope,"Riccialdelli L, Newsome SD, Fogel ML, Fernández DA. Trophic interactions and food web structure of a subantarctic marine food web in the Beagle Channel: Bahía Lapataia, Argentina. Polar Biology. 2017;40: 807–21.",https://doi.org/10.1007/s00300-016-2007-x
Benguela,"18°00’08.0"" E","34°06’03.5"" S",1991,Variable,Yodzis P. Local trophodynamics and the interaction of marine mammals and fisheries in the Benguela ecosystem. Journal of Animal Ecology. 1998;67: 635–58.,https://doi.org/10.1046/j.1365-2656.1998.00224.x
Brazil,"48°04’55.2"" W","25°42’14.4"" S",2010-2012,Stomach content,"Bornatowski H, Barreto R, Navia AF, Amorim AF. Topological redundancy and ‘small‐world’patterns in a food web in a subtropical ecosystem of Brazil. Marine Ecology. 2016;38.",https://doi.org/10.1111/maec.12407
Cadiz,"7°12’57.4"" W","36°58’56.0"" N",2009,Stomach content,"Torres MÁ, Coll M, Heymans JJ, Christensen V, Sobrino I. Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological modelling. 2013;265: 26–44.",https://doi.org/10.1016/j.ecolmodel.2013.05.019
Cayman Islands,"81°18’00.2"" W","19°24’02.5"" N",1990-2010,Stomach content,"Roopnarine PD, Hertog R. Detailed food web networks of three Greater Antillean coral reef systems: the Cayman Islands, Cuba, and Jamaica. Dataset Papers in Science. 2013.",https://doi.org/10.7167/2013/857470
Celtic Sea,"8°10’06.7"" W","49°05’34.1"" N",1987-2001,Stomach content,"Woodward G, Blanchard J, Lauridsen RB, Edwards FK, Jones JI, Figueroa D, et al. Individual-based food webs: species identity, body size and sampling effects. Advances in ecological research. 2010;43: 211–266.",https://doi.org/10.1016/B978-0-12-385005-8.00006-X
Chilean rocky,"74°30’32.4"" W","36°03’19.7"" S",1987-2007,Variable,"Kéfi S, Berlow EL, Wieters EA, Joppa LN, Wood SA, Brose U, et al. Network structure beyond food webs: mapping non‐trophic and trophic interactions on Chilean rocky shores. Ecology. 2015;96: 291–303. pmid:26236914",https://doi.org/10.1890/13-1424.1
Cuba,"80°19’24.2"" W","21°42’01.0"" N",1990-2010,Stomach content,"Roopnarine PD, Hertog R. Detailed food web networks of three Greater Antillean coral reef systems: the Cayman Islands, Cuba, and Jamaica. Dataset Papers in Science. 2013.",https://doi.org/10.7167/2013/857470
Florida,"84°07’30.4"" W","30°02’16.4"" N",1994,Stomach content,"Christian RR, Luczkovich JJ. Organizing and understanding a winter’s seagrass foodweb network through effective trophic levels. Ecological modelling. 1999;117: 99–124.",https://doi.org/10.1016/S0304-3800(99)00022-8
Jamaica,"76°49’47.0"" W","17°45’40.3"" N",1990-2010,Stomach content,"Roopnarine PD, Hertog R. Detailed food web networks of three Greater Antillean coral reef systems: the Cayman Islands, Cuba, and Jamaica. Dataset Papers in Science. 2013.",https://doi.org/10.7167/2013/857470
Kerguelen,60°–80°E,45°–56°S,1980-2018,Variable,"Subramaniam, R. C., Melbourne-Thomas, J., Corney, S. P., Alexander, K., Péron, C., Ziegler, P., & Swadling, K. M. (2020). Time-dynamic food web modeling to explore environmental drivers of ecosystem change on the Kerguelen Plateau. Frontiers in Marine Science, 641.",https://doi.org/10.3389/fmars.2020.00641
La Guajira,71°18′46.13″ W,12°20′54.93″ N,1995-2000,Stomach content,"Criales-Hernández MI, B García C, Wolff M. Flujos de biomasa y estructura de un ecosistema de surgencia tropical en La Guajira, Caribe colombiano. Revista de biología tropical. 2006;54: 1257–82.",https://www.scielo.sa.cr/scielo.php?pid=S0034-77442006000400024&script=sci_arttext
Lions,3°9.9′ E,42°26.3′ N,2000-2009,Variable,"Bănaru D, Mellon-Duval C, Roos D, Bigot JL, Souplet A, Jadaud A, et al. Trophic structure in the Gulf of Lions marine ecosystem (north-western Mediterranean Sea) and fishing impacts. Journal of Marine Systems. 2013;111: 45–68.",https://doi.org/10.1016/j.jmarsys.2012.09.010
Monterey Bay,"121°54’30.7"" W","36°47’52.3"" N",1959-1961,Stomach content,"Glynn PW. Community composition, structure, and interrelationships in the marine intertidal Endocladia muricata–Balanus glandula association in Monterey Bay, California. Beaufortia. 1965;12: 1–98.",https://repository.naturalis.nl/pub/504945
NE US Shelf,"68°16’18.9"" W","43°49’36.8"" N",1973-2001,Stomach content,Link J. Does food web theory work for marine ecosystems?. Marine ecology progress series. 2002;230: 1–9.,https://doi.org/10.3354/meps230001
Pacific Ocean,"153°15’46.0"" E","35°22’24.2"" S",1996-2006,Stomach content,"Dambacher JM, Young JW, Olson RJ, Allain V, Galván-Magaña F, Lansdell MJ, et al. Analyzing pelagic food webs leading to top predators in the Pacific Ocean: a graph-theoretic approach. Progress in Oceanography. 2010;86: 152–65.",https://doi.org/10.1016/j.pocean.2010.04.011
Peru,"77°23’44.1"" W","12°11’08.4"" S",1952,Stomach content,"Koepcke HW, Koepcke M. Sobre el proceso de transformación de la materia orgánica en las playas arenosas marinas del Perú. Mus Hist Nat Javier Prado. 1952;8: 1–25.",NA
Potter Cove,58°40’ W,62°14’ S,NA,Variable,"Marina TI, Salinas V, Cordone G, Campana G, Moreira E, Deregibus D, Torre L, Sahade R, Tatián M, Barrera Oro E, De Troch M, Doyle S, Quartino ML, Saravia LA, Momo FR. The Food Web of Potter Cove (Antarctica): complexity, structure and function. Estuarine, Coastal and Shelf Science.2018;200: 141–151.",https://doi.org/10.1016/j.ecss.2017.10.015
Sanak intertidal,"162°38’52.2"" W","54°26’22.7"" N",2004-2007,Variable,"Dunne JA, Maschner H, Betts MW, Huntly N, Russell R, Williams RJ, et al. The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific reports. 2016;6: 21179. pmid:26884149",https://doi.org/10.1038/srep21179
Sanak nearshore,"162°38’52.2"" W","54°26’22.7"" N",2004-2007,Variable,"Dunne JA, Maschner H, Betts MW, Huntly N, Russell R, Williams RJ, et al. The roles and impacts of human hunter-gatherers in North Pacific marine food webs. Scientific reports. 2016;6: 21179. pmid:26884149",https://doi.org/10.1038/srep21179
Simon Bay,"8°37’45.3"" W","42°18’43.1"" N",2000-2001,Stable isotope,"Filgueira R, Castro BG. Study of the trophic web of San Simón Bay (Ría de Vigo) by using stable isotopes. Continental Shelf Research. 2011;3: 476–87.",https://doi.org/10.1016/j.csr.2010.10.010
Tortugas,"77°30’17.3"" W","3°36’49.7"" N",1990-2009,Stomach content,"Navia AF, Cruz-Escalona VH, Giraldo A, Barausse A. The structure of a marine tropical food web, and its implications for ecosystem-based fisheries management. Ecological modelling. 2016;328: 23–33.",https://doi.org/10.1016/j.ecolmodel.2016.02.009
Weddell Sea,"21°46’28.7"" W","74°25’57.5"" S",2001-2004,Variable,"Jacob U, Thierry A, Brose U, Arntz WE, Berg S, Brey T, Fetzer I, Jonsson T, Mintenbeck K, Möllmann C, Petchey OL, Riede JO, Dunne JA. The Role of Body Size in Complex Food Webs. In Advances in Ecological Research 2011;45.",https://doi.org/10.1016/B978-0-12-386475-8.00005-8