Prey,Predator
Euphausia crystallorophias,Ophiosparte gigas
Euphausia superba,Ophiosparte gigas
Fish,Ophiosparte gigas
Foraminifera,Ophiosparte gigas
Gastropoda,Ophiosparte gigas
Isopoda,Ophiosparte gigas
Laternula elliptica,Ophiosparte gigas
Mysidacea,Ophiosparte gigas
Nematoda,Ophiosparte gigas
Odontaster validus,Ophiosparte gigas
Ophiacantha sp,Ophiosparte gigas
Ophiocten sp,Ophiosparte gigas
Ophionotus victoriae,Ophiosparte gigas
Ophiosparte gigas,Ophiosparte gigas
Ophiuroidea,Ophiosparte gigas
Ophiurolepis gelida,Ophiosparte gigas
Ostracoda,Ophiosparte gigas
Pantopoda,Ophiosparte gigas
Polychaeta,Ophiosparte gigas
Porifera,Ophiosparte gigas
Promachocrinus kerguelensis,Ophiosparte gigas
Sediment,Ophiosparte gigas
Sterechinus neumayeri,Ophiosparte gigas
Yoldia eightsi,Ophiosparte gigas
Bacillariophyta,Ophiuroidea
Amphipoda,Ophiurolepis brevirima
Bacillariophyta,Ophiurolepis brevirima
Bivalvia,Ophiurolepis brevirima
Bryozoa,Ophiurolepis brevirima
Cnidaria,Ophiurolepis brevirima
Crustacea,Ophiurolepis brevirima
Detritus,Ophiurolepis brevirima
Eunoe spica,Ophiurolepis brevirima
Euphausiacea,Ophiurolepis brevirima
Foraminifera,Ophiurolepis brevirima
Ostracoda,Ophiurolepis brevirima
Polychaeta,Ophiurolepis brevirima
Porifera,Ophiurolepis brevirima
Sediment,Ophiurolepis brevirima
SilicioZooplankton,Ophiurolepis brevirima
Zooplankton,Ophiurolepis brevirima
Amphipoda,Ophiurolepis gelida
Bacillariophyta,Ophiurolepis gelida
Bivalvia,Ophiurolepis gelida
Bryozoa,Ophiurolepis gelida
Crustacea,Ophiurolepis gelida
Detritus,Ophiurolepis gelida
Euphausiacea,Ophiurolepis gelida
Foraminifera,Ophiurolepis gelida
Nematoda,Ophiurolepis gelida
Polychaeta,Ophiurolepis gelida
Porifera,Ophiurolepis gelida
Sediment,Ophiurolepis gelida
SilicioZooplankton,Ophiurolepis gelida
Zooplankton,Ophiurolepis gelida
Phytoplankton,Oradarea edentata
Arctocephalus gazella ,Orcinus orca
Balaenoptera acutorostrata,Orcinus orca
Dissostichus mawsoni,Orcinus orca
Fish,Orcinus orca
Halobaena caerulea,Orcinus orca
Hydrurga leptonyx ,Orcinus orca
Leptonychotes weddelli,Orcinus orca
Lobodon carcinophagus ,Orcinus orca
Mirounga leonina ,Orcinus orca
Myctophidae,Orcinus orca
Ommatophoca rossii ,Orcinus orca
Pygoscelis adeliae,Orcinus orca
Squid,Orcinus orca
Thalassoica antarctica,Orcinus orca
Detritus,Ostracoda
Bacillariophyta,Oswaldella antarctica
Amphipoda,Pachyptila desolata
Calanoides acutus,Pachyptila desolata
Calanus propinquus,Pachyptila desolata
Copepoda,Pachyptila desolata
Crustacea,Pachyptila desolata
Cyllopus lucasii,Pachyptila desolata
Electrona antarctica,Pachyptila desolata
Euchaeta antarctica,Pachyptila desolata
Euphausia frigida,Pachyptila desolata
Euphausia superba,Pachyptila desolata
Fish,Pachyptila desolata
Gymnoscopelus braueri,Pachyptila desolata
Gymnoscopelus nicholsi,Pachyptila desolata
Metridia gerlachei,Pachyptila desolata
Notocrangon antarcticus,Pachyptila desolata
Notolepis coatsi,Pachyptila desolata
Octopoda,Pachyptila desolata
Primno macropa,Pachyptila desolata
Protomyctophum bolini,Pachyptila desolata
Rhincalanus gigas,Pachyptila desolata
Salpa thompsoni,Pachyptila desolata
Thysanoessa macrura,Pachyptila desolata
Vibilia antarctica,Pachyptila desolata
Crustacea,Pagetopsis maculatus
Euphausia crystallorophias,Pagetopsis maculatus
Euphausia superba,Pagetopsis maculatus
Euphausiacea,Pagetopsis maculatus
Fish,Pagetopsis maculatus
Crustacea,Pagodroma nivea
Cyllopus lucasii,Pagodroma nivea
Detritus,Pagodroma nivea
Electrona antarctica,Pagodroma nivea
Euphausia superba,Pagodroma nivea
Eurythenes gryllus,Pagodroma nivea
Fish,Pagodroma nivea
Galiteuthis glacialis,Pagodroma nivea
Gymnoscopelus braueri,Pagodroma nivea
Notocrangon antarcticus,Pagodroma nivea
Notolepis coatsi,Pagodroma nivea
Protomyctophum bolini,Pagodroma nivea
Psychroteuthis glacialis,Pagodroma nivea
Vibilia antarctica,Pagodroma nivea
Vibilia stebbingi,Pagodroma nivea
Detritus,Pantopoda
Amphipoda,Paraceradocus gibber
Bacillariophyta,Paraceradocus gibber
Detritus,Paraceradocus gibber
Ophiuroidea,Paramoera walkeri
Actinaria,Parborlasia corrugatus
Adamussium colbecki,Parborlasia corrugatus
Asteroidea,Parborlasia corrugatus
Bacillariophyta,Parborlasia corrugatus
Bivalvia,Parborlasia corrugatus
Crustacea,Parborlasia corrugatus
Ctenophora,Parborlasia corrugatus
Fish,Parborlasia corrugatus
Homaxinella balfourensis,Parborlasia corrugatus
Polychaeta,Parborlasia corrugatus
Isopoda,Pareledone antarctica
Crustacea,Pareledone charcoti
Eukrohnia hamata,Pareledone charcoti
Fish,Pareledone charcoti
Glyptonotus antarcticus,Pareledone charcoti
Polychaeta,Pareledone charcoti
Siphonophora,Pareledone charcoti
Sterechinus neumayeri,Pareledone charcoti
Yoldia eightsi,Pareledone charcoti
Bacillariophyta,Parmaphorella mawsoni
Detritus,Parmaphorella mawsoni
Porifera,Parmaphorella mawsoni
Sediment,Parmaphorella mawsoni
Detritus,Parschisturella ceruviata 
Bacillariophyta,Pelagobia longicirrata
Ostracoda,Pelagobia longicirrata
Bacillariophyta,Pemmatoporella sp
Detritus,Pemmatoporella sp
Nanoplankton,Pemmatoporella sp
Bryozoa,Pentanymphon antarcticum
Ctenophora,Pentanymphon antarcticum
Gastropoda,Pentanymphon antarcticum
Ophiuroidea,Pentanymphon antarcticum
Polychaeta,Pentanymphon antarcticum
Porifera,Pentanymphon antarcticum
Bacillariophyta,Peraeospinosus pushkini
Detritus,Peraeospinosus pushkini
Porifera,Peraeospinosus pushkini
Sediment,Peraeospinosus pushkini
Detritus,Perknaster densus
Detritus,Perknaster fuscus
Detritus,Perknaster fuscus antarcticus
Mycale acerata,Perknaster fuscus antarcticus
Porifera,Perknaster fuscus antarcticus
Scolymastra joubini,Perknaster fuscus antarcticus
Tetilla leptoderma,Perknaster fuscus antarcticus
Detritus,Phascolion strombi
Detritus,Philobrya sublaevis
Champsocephalus gunnari ,Physeter macrocephalus
Crustacea,Physeter macrocephalus
Dissostichus mawsoni,Physeter macrocephalus
Euphausiacea,Physeter macrocephalus
Fish,Physeter macrocephalus
Myctophidae,Physeter macrocephalus
Squid,Physeter macrocephalus
Copepoda,Pleuragramma antarcticum
Cyllopus lucasii,Pleuragramma antarcticum
Euphausiacea,Pleuragramma antarcticum
Myctophidae,Pleuragramma antarcticum
Salpa thompsoni,Pleuragramma antarcticum
Bacillariophyta,Podocopida
Detritus,Podocopida
Zooplankton,Podocopida
Fish,Pogonophryne barsukovi
Cyllopus lucasii,Pogonophryne marmorata
Epimeria macrodonta,Pogonophryne marmorata
Epimeria robusta,Pogonophryne marmorata
Euphausiacea,Pogonophryne marmorata
Iphimediella cyclogena,Pogonophryne marmorata
Isopoda,Pogonophryne marmorata
Liljeborgia georgiana,Pogonophryne marmorata
Polychaeta,Pogonophryne marmorata
Zooplankton,Pogonophryne marmorata
Amphipoda,Pogonophryne permitini
Crustacea,Pogonophryne permitini
Hydrozoa,Pogonophryne permitini
Isopoda,Pogonophryne permitini
Mysidacea,Pogonophryne permitini
Polychaeta,Pogonophryne permitini
Scaphopoda,Pogonophryne permitini
Amphipoda,Pogonophryne phyllopogon
Crinoidea,Pogonophryne phyllopogon
Crustacea,Pogonophryne phyllopogon
Isopoda,Pogonophryne phyllopogon
Mysidacea,Pogonophryne phyllopogon
Polychaeta,Pogonophryne phyllopogon
Fish,Pogonophryne scotti
Detritus,Polychaeta
Anthozoa,Polyeunoa laevis
Crustacea,Polyeunoa laevis
Detritus,Polyeunoa laevis
Urticinopsis antarctica,Polyeunoa laevis
Phytoplankton,Polymastia invaginata
Nemertini,Pontiothauma ergata
Bacillariophyta,Porania antarctica
Detritus,Porania antarctica
Ostracoda,Porania antarctica
Phytoplankton,Porifera
Phytoplankton,Primno macropa
Detritus,Primnoella sp
Phytoplankton,Primnoella sp
Phytoplankton,Primnoisis antarctica
Zooplankton,Primnoisis antarctica
Amphipoda,Prionodraco evansii
Copepoda,Prionodraco evansii
Cumacea,Prionodraco evansii
Eukrohnia hamata,Prionodraco evansii
Euphausiacea,Prionodraco evansii
Isopoda,Prionodraco evansii
Mysidacea,Prionodraco evansii
Ostracoda,Prionodraco evansii
Polychaeta,Prionodraco evansii
Electrona antarctica,Procellaria aequinoctialis
Euphausia superba,Procellaria aequinoctialis
Fish,Procellaria aequinoctialis
Galiteuthis glacialis,Procellaria aequinoctialis
Gonatus antarcticus,Procellaria aequinoctialis
Kondakovia longimana,Procellaria aequinoctialis
Psychroteuthis glacialis,Procellaria aequinoctialis
Salpa thompsoni,Procellaria aequinoctialis
Vibilia antarctica,Procellaria aequinoctialis
Detritus,Promachocrinus kerguelensis
Phytoplankton,Promachocrinus kerguelensis
Sediment,Promachocrinus kerguelensis
Bacillariophyta,Propeleda longicaudata
Detritus,Propeleda longicaudata
Calanus propinquus,Protomyctophum bolini
Chaetognatha,Protomyctophum bolini
Copepoda,Protomyctophum bolini
Euchaeta antarctica,Protomyctophum bolini
Euphausiacea,Protomyctophum bolini
Gastropoda,Protomyctophum bolini
Metridia gerlachei,Protomyctophum bolini
Oncaea sp,Protomyctophum bolini
Ostracoda,Protomyctophum bolini
Rhincalanus gigas,Protomyctophum bolini
Thysanoessa macrura,Protomyctophum bolini
Detritus,Pseudorchomene coatsi
Ascidiacea,Psilaster charcoti
Detritus,Psilaster charcoti
Fish,Psilaster charcoti
Sediment,Psilaster charcoti
Detritus,Psolidium incertum
Detritus,Psolus antarcticus
Phytoplankton,Psolus antarcticus
Detritus,Psolus charcoti
Phytoplankton,Psolus charcoti
Detritus,Psolus dubiosus
Phytoplankton,Psolus dubiosus
Chaenodraco wilsoni,Psychroteuthis glacialis
Chionodraco hamatus,Psychroteuthis glacialis
Crustacea,Psychroteuthis glacialis
Euphausia superba,Psychroteuthis glacialis
Fish,Psychroteuthis glacialis
Myctophidae,Psychroteuthis glacialis
Pleuragramma antarcticum,Psychroteuthis glacialis
Psychroteuthis glacialis,Psychroteuthis glacialis
Adamussium colbecki,Pteraster affinis aculeatus
Cyllopus lucasii,Pterodroma brevirostris
Electrona antarctica,Pterodroma brevirostris
Euphausia superba,Pterodroma brevirostris
Eurythenes gryllus,Pterodroma brevirostris
Fish,Pterodroma brevirostris
Galiteuthis glacialis,Pterodroma brevirostris
Gymnoscopelus braueri,Pterodroma brevirostris
Notocrangon antarcticus,Pterodroma brevirostris
Notolepis coatsi,Pterodroma brevirostris
Protomyctophum bolini,Pterodroma brevirostris
Vibilia antarctica,Pterodroma brevirostris
Limacina helicina,Pteropoda
Bacillariophyta,Puncturella conica
Bryozoa,Puncturella conica
Foraminifera,Puncturella conica
Porifera,Puncturella conica
Sediment,Puncturella conica
Cyllopus lucasii,Pygoscelis adeliae
Electrona antarctica,Pygoscelis adeliae
Euphausia superba,Pygoscelis adeliae
Kondakovia longimana,Pygoscelis adeliae
Psychroteuthis glacialis,Pygoscelis adeliae
Thysanoessa macrura,Pygoscelis adeliae
Amphipoda,Racovitzia glacialis
Fish,Racovitzia glacialis
Isopoda,Racovitzia glacialis
Mysidacea,Racovitzia glacialis
Polychaeta,Racovitzia glacialis
Tanaidacea,Racovitzia glacialis
Bacillariophyta,Reteporella hippocrepis
Detritus,Reteporella hippocrepis
Nanoplankton,Reteporella hippocrepis
Amphipoda,Rhachotropis antarctica
Bacillariophyta,Rhachotropis antarctica
Cnidaria,Rhachotropis antarctica
Copepoda,Rhachotropis antarctica
Euphausiacea,Rhachotropis antarctica
Polychaeta,Rhachotropis antarctica
Bacillariophyta,Rhincalanus gigas
Coelenterata,Rhincalanus gigas
Oithona sp,Rhincalanus gigas
Oncaea sp,Rhincalanus gigas
SilicioZooplankton,Rhincalanus gigas
Tintinnidae,Rhincalanus gigas
Zooplankton,Rhincalanus gigas
Bacillariophyta,Rhynchonereella bongraini
Ostracoda,Rhynchonereella bongraini
Bacteria,Rossella antarctica
Detritus,Rossella antarctica
Phytoplankton,Rossella antarctica
Bacteria,Rossella nuda
Detritus,Rossella nuda
Phytoplankton,Rossella nuda
Bacteria,Rossella racovitzae
Detritus,Rossella racovitzae
Phytoplankton,Rossella racovitzae
Euchaeta antarctica,Sagitta gazellae
Metridia gerlachei,Sagitta gazellae
Copepoda,Sagitta marri
Metridia gerlachei,Sagitta marri
Oithona sp,Sagitta marri
Oncaea sp,Sagitta marri
Ostracoda,Sagitta marri
Pelagobia longicirrata,Sagitta marri
Bacillariophyta,Salpa gerlachei
Phytoplankton,Salpa gerlachei
Bacillariophyta,Salpa thompsoni
Calanus propinquus,Salpa thompsoni
Copepoda,Salpa thompsoni
Detritus,Salpa thompsoni
Euchaeta antarctica,Salpa thompsoni
Eukrohnia hamata,Salpa thompsoni
Foraminifera,Salpa thompsoni
Limacina helicina,Salpa thompsoni
Metridia gerlachei,Salpa thompsoni
Oithona sp,Salpa thompsoni
Oncaea sp,Salpa thompsoni
Pelagobia longicirrata,Salpa thompsoni
Phytoplankton,Salpa thompsoni
SilicioZooplankton,Salpa thompsoni
Tintinnidae,Salpa thompsoni
Zooplankton,Salpa thompsoni
Decapoda,Scaphopoda
Bacteria,Scolymastra joubini
Detritus,Scolymastra joubini
Phytoplankton,Scolymastra joubini
Detritus,Scotoplanes globosa
Zooplankton,Scyphozoa
Phytoplankton,SilicioZooplankton
Bacillariophyta,Silicularia rosea
Crustacea,Silicularia rosea
Detritus,Silicularia rosea
Nematoda,Silicularia rosea
Tintinnidae,Silicularia rosea
Zooplankton,Silicularia rosea
Zooplankton,Siphonophora
Detritus,Sipunculida
Bivalvia,Solaster sp
Detritus,Solaster sp
Polychaeta,Solaster sp
Sediment,Solaster sp
Eukrohnia hamata,Solmundella bitentaculata
Euphausiacea,Solmundella bitentaculata
Limacina helicina,Solmundella bitentaculata
Polychaeta,Solmundella bitentaculata
Pteropoda,Solmundella bitentaculata
Salpa thompsoni,Solmundella bitentaculata
Crustacea,Squid
Bacillariophyta,Sterechinus antarcticus
Bryozoa,Sterechinus antarcticus
Detritus,Sterechinus antarcticus
Foraminifera,Sterechinus antarcticus
Porifera,Sterechinus antarcticus
Bacillariophyta,Sterechinus neumayeri
Bryozoa,Sterechinus neumayeri
Detritus,Sterechinus neumayeri
Foraminifera,Sterechinus neumayeri
Polychaeta,Sterechinus neumayeri
Porifera,Sterechinus neumayeri
Waldeckia obesa,Sterechinus neumayeri
Amphipoda,Sterna paradisaea
Cyllopus lucasii,Sterna paradisaea
Electrona antarctica,Sterna paradisaea
Euphausia superba,Sterna paradisaea
Thysanoessa macrura,Sterna paradisaea
Vibilia antarctica,Sterna paradisaea
Electrona antarctica,Sterna vittata
Euphausia superba,Sterna vittata
Bacteria,Stylocordyla borealis
Detritus,Stylocordyla borealis
Phytoplankton,Stylocordyla borealis
Bacillariophyta,Synoicum adareanum
Bacteria,Synoicum adareanum
Detritus,Synoicum adareanum
Nanoplankton,Synoicum adareanum
Bacillariophyta,Systenopora contracta
Detritus,Systenopora contracta
Nanoplankton,Systenopora contracta
Detritus,Taeniogyrus contortus
Phytoplankton,Taeniogyrus contortus
Phytoplankton,Tanaidacea
Bacteria,Tetilla leptoderma
Detritus,Tetilla leptoderma
Phytoplankton,Tetilla leptoderma
Amphipoda,Thalassoica antarctica
Crustacea,Thalassoica antarctica
Cyllopus lucasii,Thalassoica antarctica
Detritus,Thalassoica antarctica
Electrona antarctica,Thalassoica antarctica
Euphausia superba,Thalassoica antarctica
Eurythenes gryllus,Thalassoica antarctica
Fish,Thalassoica antarctica
Galiteuthis glacialis,Thalassoica antarctica
Gonatus antarcticus,Thalassoica antarctica
Gymnoscopelus braueri,Thalassoica antarctica
Gymnoscopelus nicholsi,Thalassoica antarctica
Gymnoscopelus opisthopterus,Thalassoica antarctica
Notocrangon antarcticus,Thalassoica antarctica
Notolepis coatsi,Thalassoica antarctica
Protomyctophum bolini,Thalassoica antarctica
Psychroteuthis glacialis,Thalassoica antarctica
Vibilia antarctica,Thalassoica antarctica
Vibilia stebbingi,Thalassoica antarctica
Bacillariophyta,Thysanoessa macrura
Copepoda,Thysanoessa macrura
Foraminifera,Thysanoessa macrura
Phytoplankton,Thysanoessa macrura
Pteropoda,Thysanoessa macrura
Siphonophora,Thysanoessa macrura
Tintinnidae,Thysanoessa macrura
Zooplankton,Thysanoessa macrura
Phytoplankton,Tintinnidae
Detritus,Trachythyone parva
Amphipoda,Trematomus bernacchii
Bryozoa,Trematomus bernacchii
Copepoda,Trematomus bernacchii
Crustacea,Trematomus bernacchii
Cyllopus lucasii,Trematomus bernacchii
Echiurida,Trematomus bernacchii
Epimeria robusta,Trematomus bernacchii
Fish,Trematomus bernacchii
Gastropoda,Trematomus bernacchii
Hydrozoa,Trematomus bernacchii
Isopoda,Trematomus bernacchii
Metridia gerlachei,Trematomus bernacchii
Ostracoda,Trematomus bernacchii
Polychaeta,Trematomus bernacchii
Sipunculida,Trematomus bernacchii
Tanaidacea,Trematomus bernacchii
Yoldia eightsi,Trematomus bernacchii
Zooplankton,Trematomus bernacchii
Amphipoda,Trematomus eulepidotus
Copepoda,Trematomus eulepidotus
Crustacea,Trematomus eulepidotus
Cyllopus lucasii,Trematomus eulepidotus
Epimeria robusta,Trematomus eulepidotus
Euchaeta antarctica,Trematomus eulepidotus
Euphausia crystallorophias,Trematomus eulepidotus
Euphausia superba,Trematomus eulepidotus
Fish,Trematomus eulepidotus
Gastropoda,Trematomus eulepidotus
Isopoda,Trematomus eulepidotus
Metridia gerlachei,Trematomus eulepidotus
Mysidacea,Trematomus eulepidotus
Oncaea curvata,Trematomus eulepidotus
Ostracoda,Trematomus eulepidotus
Polychaeta,Trematomus eulepidotus
Zooplankton,Trematomus eulepidotus
Amphipoda,Trematomus hansoni
Ceratoserolis meridionalis,Trematomus hansoni
Copepoda,Trematomus hansoni
Cyllopus lucasii,Trematomus hansoni
Decapoda,Trematomus hansoni
Euphausia crystallorophias,Trematomus hansoni
Euphausia superba,Trematomus hansoni
Fish,Trematomus hansoni
Gastropoda,Trematomus hansoni
Isopoda,Trematomus hansoni
Metridia gerlachei,Trematomus hansoni
Neobuccinum eatoni,Trematomus hansoni
Pantopoda,Trematomus hansoni
Pentanymphon antarcticum,Trematomus hansoni
Polychaeta,Trematomus hansoni
Trematomus eulepidotus,Trematomus hansoni
Trematomus pennellii,Trematomus hansoni
Zooplankton,Trematomus hansoni
Amphipoda,Trematomus lepidorhinus 
Copepoda,Trematomus lepidorhinus 
Crustacea,Trematomus lepidorhinus 
Decapoda,Trematomus lepidorhinus 
Epimeria robusta,Trematomus lepidorhinus 
Eunoe spica,Trematomus lepidorhinus 
Euphausia crystallorophias,Trematomus lepidorhinus 
Euphausia superba,Trematomus lepidorhinus 
Gastropoda,Trematomus lepidorhinus 
Isopoda,Trematomus lepidorhinus 
Laternula elliptica,Trematomus lepidorhinus 
Metridia gerlachei,Trematomus lepidorhinus 
Mysida,Trematomus lepidorhinus 
Mysidacea,Trematomus lepidorhinus 
Ostracoda,Trematomus lepidorhinus 
Polychaeta,Trematomus lepidorhinus 
Amphipoda,Trematomus loennbergii
Bryozoa,Trematomus loennbergii
Copepoda,Trematomus loennbergii
Crustacea,Trematomus loennbergii
Cumacea,Trematomus loennbergii
Cyllopus lucasii,Trematomus loennbergii
Eukrohnia hamata,Trematomus loennbergii
Euphausia crystallorophias,Trematomus loennbergii
Euphausia superba,Trematomus loennbergii
Fish,Trematomus loennbergii
Gastropoda,Trematomus loennbergii
Isopoda,Trematomus loennbergii
Mysidacea,Trematomus loennbergii
Polychaeta,Trematomus loennbergii
Pteropoda,Trematomus loennbergii
Salpa thompsoni,Trematomus loennbergii
Amphipoda,Trematomus nicolai
Calanoides acutus,Trematomus nicolai
Copepoda,Trematomus nicolai
Crustacea,Trematomus nicolai
Epimeria robusta,Trematomus nicolai
Euphausia crystallorophias,Trematomus nicolai
Euphausia superba,Trematomus nicolai
Gastropoda,Trematomus nicolai
Isopoda,Trematomus nicolai
Metridia gerlachei,Trematomus nicolai
Mysida,Trematomus nicolai
Mysidacea,Trematomus nicolai
Tanaidacea,Trematomus nicolai
Aega antarctica,Trematomus pennellii
Amphipoda,Trematomus pennellii
Anthozoa,Trematomus pennellii
Bivalvia,Trematomus pennellii
Ceratoserolis meridionalis,Trematomus pennellii
Copepoda,Trematomus pennellii
Crustacea,Trematomus pennellii
Cyllopus lucasii,Trematomus pennellii
Decapoda,Trematomus pennellii
Epimeria robusta,Trematomus pennellii
Euphausia crystallorophias,Trematomus pennellii
Euphausia superba,Trematomus pennellii
Fish,Trematomus pennellii
Gastropoda,Trematomus pennellii
Glyptonotus antarcticus,Trematomus pennellii
Gnathia calva,Trematomus pennellii
Hydrozoa,Trematomus pennellii
Isopoda,Trematomus pennellii
Natatolana obtusata,Trematomus pennellii
Ostracoda,Trematomus pennellii
Pentanymphon antarcticum,Trematomus pennellii
Polychaeta,Trematomus pennellii
Tanaidacea,Trematomus pennellii
Urticinopsis antarctica,Trematomus pennellii
Amphipoda,Trematomus scotti
Calanoides acutus,Trematomus scotti
Calanus propinquus,Trematomus scotti
Copepoda,Trematomus scotti
Crinoidea,Trematomus scotti
Cumacea,Trematomus scotti
Cyllopus lucasii,Trematomus scotti
Epimeria robusta,Trematomus scotti
Euchaeta antarctica,Trematomus scotti
Eunoe hartmanae,Trematomus scotti
Eunoe spica,Trematomus scotti
Euphausia crystallorophias,Trematomus scotti
Euphausia superba,Trematomus scotti
Gastropoda,Trematomus scotti
Gnathia calva,Trematomus scotti
Hydrozoa,Trematomus scotti
Isopoda,Trematomus scotti
Metridia gerlachei,Trematomus scotti
Mysidacea,Trematomus scotti
Natatolana obtusata,Trematomus scotti
Ostracoda,Trematomus scotti
Pantopoda,Trematomus scotti
Polychaeta,Trematomus scotti
Tanaidacea,Trematomus scotti
Zooplankton,Trematomus scotti
Cephalodiscus sp,Tritonia antarctica
Sediment,Tritonia antarctica
Ascidiacea,Tritoniella belli
Bryozoa,Tritoniella belli
Cephalodiscus sp,Tritoniella belli
Detritus,Tritoniella belli
Porifera,Tritoniella belli
Bivalvia,Trophon longstaffi
Yoldia eightsi,Trophon longstaffi
Amphipoda,Tryphosella murrayi
Crustacea,Tryphosella murrayi
Dolloidraco longedorsalis,Tryphosella murrayi
Fish,Tryphosella murrayi
Mysidacea,Tryphosella murrayi
Decapoda,Tubularia
Copepoda,Tubularia ralphii
Detritus,Tubularia ralphii
Zooplankton,Tubularia ralphii
Champsocephalus gunnari ,Tursiops truncatus
Dissostichus mawsoni,Tursiops truncatus
Euphausiacea,Tursiops truncatus
Fish,Tursiops truncatus
Myctophidae,Tursiops truncatus
Squid,Tursiops truncatus
Amphipoda,Uristes gigas
Bacillariophyta,Uristes gigas
Crustacea,Uristes gigas
Euphausiacea,Uristes gigas
Porifera,Uristes gigas
Asteroidea,Urticinopsis antarctica
Diplasterias brucei,Urticinopsis antarctica
Echinoidea,Urticinopsis antarctica
Odontaster validus,Urticinopsis antarctica
Perknaster fuscus,Urticinopsis antarctica
Sterechinus neumayeri,Urticinopsis antarctica
Crustacea,Vampyroteuthis
Bacillariophyta,Vaunthompsonia inermis
Bacteria,Vaunthompsonia inermis
Detritus,Vaunthompsonia inermis
Sediment,Vaunthompsonia inermis
Zooplankton,Vibilia antarctica
Zooplankton,Vibilia stebbingi
Amphipoda,Waldeckia obesa
Cnidaria,Waldeckia obesa
Crustacea,Waldeckia obesa
Detritus,Waldeckia obesa
Eurythenes gryllus,Waldeckia obesa
Holothuria sp,Waldeckia obesa
Hydrozoa,Waldeckia obesa
Isopoda,Waldeckia obesa
Necromass,Waldeckia obesa
Ophiuroidea,Waldeckia obesa
Polychaeta,Waldeckia obesa
Porifera,Waldeckia obesa
Bacillariophyta,Yoldia eightsi
Detritus,Yoldia eightsi
Detritus,Ypsilocucumis turricata
Phytoplankton,Zooplankton
